httpRequest.cacheLookup,httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'jsonPayload.@type",jsonPayload.backendTargetProjectNumber,jsonPayload.cacheDecision,jsonPayload.cacheId,jsonPayload.remoteIp,jsonPayload.statusDetails,labels.INSTANCE_UID,labels.LOG_BUCKET_NUM,labels.PROJECT_NUMBER,labels.SOURCE_ID,labels.container_name,labels.instanceId,labels.scaling_reason,logName,receiveLocation,receiveTimestamp,resource.labels.backend_service_name,resource.labels.configuration_name,resource.labels.database_id,resource.labels.forwarding_rule_name,resource.labels.location,resource.labels.project_id,resource.labels.region,resource.labels.revision_name,resource.labels.service_name,resource.labels.target_proxy_name,resource.labels.url_map_name,resource.labels.zone,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,,69943ef000045b93dd125a14,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstderr",,"'2026-02-17T10:12:00.620333221Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,✅ [HEALTH] Serveur HTTP minimal prêt sur port 8080,"'2026-02-17T10:12:00.285587Z",,
,,,,,,,,,,,69943ef0000457c791ed0e94,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstderr",,"'2026-02-17T10:12:00.287722606Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🚀 [HEALTH] Démarrage serveur HTTP minimal Python sur port 8080...,"'2026-02-17T10:12:00.284615Z",,
,,,,,,,,,,,69943ef00002c3baea784292,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:00.241660668Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,✅ [WRAPPER] Serveur HTTP minimal démarré (PID: 3),"'2026-02-17T10:12:00.181178Z",,
,,,,,,,,,,,69943ef00002c02d1fefbc6f,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:00.241660668Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🚀 [WRAPPER] Démarrage serveur HTTP minimal Python...,"'2026-02-17T10:12:00.180269Z",,
,,,,,,,,,,,69943ef00002c0208df3c456,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:00.241660668Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🚀 [WRAPPER] Démarrage wrapper Cloud Run...,"'2026-02-17T10:12:00.180256Z",,
,,,,,,,,,,,69943ef000004614e3054908,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,AUTOSCALING,"'projects/yukpo-project/logs/run.googleapis.com%2Fvarlog%2Fsystem",,"'2026-02-17T10:12:00.175390917Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,INFO,,"'Starting new instance. Reason: AUTOSCALING - Instance started due to configured scaling factors (e.g. CPU utilization, request throughput, etc.) or no existing capacity for current traffic.","'2026-02-17T10:12:00.017940Z",,
,,,,,,,,,,,69943eed0002a1ae938bb5a1,,,,,,,,,,,"'yukpo-backend-1",00da6cd2c46851118bf81f9822a4b3fef8bd0f66d9d44c7f9b3ea212a36c6180c173c71c4e562dd410505774b361d5f3e459979bb3a3e71ba38253714935a80d3b28fa7f8afdebba10af59bccae1b3,,"'projects/yukpo-project/logs/run.googleapis.com%2Fvarlog%2Fsystem",,"'2026-02-17T10:11:57.178082008Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,WARNING,,Container called exit(1).,"'2026-02-17T10:11:57.172455889Z",,
,,,,,,,,,,,69943eec0009b62ec8736bfa,,,,,,,,,,,,00da6cd2c46851118bf81f9822a4b3fef8bd0f66d9d44c7f9b3ea212a36c6180c173c71c4e562dd410505774b361d5f3e459979bb3a3e71ba38253714935a80d3b28fa7f8afdebba10af59bccae1b3,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:11:56.914477933Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"'🔍 [WRAPPER] Dernières erreurs capturées ci-dessus","'2026-02-17T10:11:56.636462Z",,
,,,,,,,,,,,69943eec0009b62a725b72da,,,,,,,,,,,,00da6cd2c46851118bf81f9822a4b3fef8bd0f66d9d44c7f9b3ea212a36c6180c173c71c4e562dd410505774b361d5f3e459979bb3a3e71ba38253714935a80d3b28fa7f8afdebba10af59bccae1b3,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:11:56.914477933Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,❌ [WRAPPER] Application Rust a quitté avec le code: 1,"'2026-02-17T10:11:56.636458Z",,
,,,,,,,,,,,69943eec0009b623dfb77ef1,,,,,,,,,,,,00da6cd2c46851118bf81f9822a4b3fef8bd0f66d9d44c7f9b3ea212a36c6180c173c71c4e562dd410505774b361d5f3e459979bb3a3e71ba38253714935a80d3b28fa7f8afdebba10af59bccae1b3,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:11:56.914477933Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,Error: Configuration(EmptyHost),"'2026-02-17T10:11:56.636451Z",,
